site_no,sample_date,sample_time,Aquifer Code,Aquifer Type,Latitude,Longititude,Well Depth,Sampling Depth,Temperature,Electrical conductivity,Carbonate alkalinity,TDS,pH,O2(aq),N2(aq),NH4+,NO2-,NO3-,HPO4--,HS-,Ca++,Mg++,Na+,K+,Cl-,SO4--,F-,SiO2(aq),Fe++,Mn++,Al+++,CH4(aq),Lead,Arsenic,Akermanite,Al2(SO4)3,Al2(SO4)3^6H2O,Alabandite,Albite,Albite high,Albite low,Alunite,Amesite-14A,Amrph^silica,Analc-dehydr,Analcime,Andalusite,Andradite,Anhydrite,Annite,Anorthite,Antarcticite,Anthophyllite,Antigorite,Aragonite,Arcanite,Artinite,Bassanite,Beidellit-Ca,Beidellit-H,Beidellit-K,Beidellit-Mg,Beidellit-Na,Berlinite,Birnessite,Bischofite,Bixbyite,Bloedite,Boehmite,Brucite,Burkeite,Ca(OH)2(c),Ca-Al Pyroxene,Ca2Cl2(OH)2^H2O,Ca2Si3O8^5/2H2O,Ca2SiO4(gamma),Ca2SiO4^7/6H2O,Ca3Si2O7^3H2O,Ca3SiO5,Ca4Cl2(OH)6^13H2O,Ca4Si3O10^3/2H2O,Ca5Si6O17^11/2H2O,Ca5Si6O17^21/2H2O,Ca5Si6O17^3H2O,Ca6Si6O18^H2O,CaCl2^2H2O,CaCl2^4H2O,CaCl2^H2O,CaHPO4^2H2O,Calcite,Carnallite,CaSi2O5^2H2O,CaSO4^1/2H2O(beta),Chalcedony,Chamosite-7A,Chloromagnesite,Chrysotile,Clinochl-14A,Clinochl-7A,Clinoptil-Ca,Clinoptil-K,Clinoptil-Mg,Clinoptil-Na,Clinozoisite,Cordier^anhy,Cordier^hydr,Corundum,Cristobalite,Cronstedt-7A,Daphnite-14A,Daphnite-7A,Dawsonite,Diaspore,Diopside,Dolomite,Dolomite-dis,Dolomite-ord,Enstatite,Epidote,Epidote-ord,Epsomite,Fayalite,Fe(OH)2(ppd),Fe(OH)3(ppd),Fe2(SO4)3(c),FeF2(c),FeF3(c),FeO(c),Ferrite-2-Ca,Ferrite-Ca,Ferrite-Mg,Ferrosilite,FeSO4(c),Fluorapatite,Fluorite,Forsterite,Gaylussite,Gehlenite,Gibbsite,Goethite,Graphite,Greenalite,Grossular,Gypsum,Halite,Hausmannite,Hedenbergite,Hematite,Hercynite,Heulandite,Hexahydrite,Huntite,Hydromagnesite,Hydrophilite,Hydroxyapatite,Illite,Jadeite,Jarosite-K,Jarosite-Na,K-feldspar,K2CO3^3/2H2O,K8H4(CO3)6^3H2O,Kainite,Kalicinite,Kalsilite,Kaolinite,Kieserite,KMgCl3,KMgCl3^2H2O,KNaCO3^6H2O,Kyanite,Larnite,Laumontite,Lawrencite,Lawsonite,Leonhardtite,Lime,Magnesite,Magnetite,Manganite,Manganosite,Margarite,Maximum Microcline,Melanterite,Mercallite,Merwinite,Mg2Cl(OH)3^4H2O,MgCl2^2H2O,MgCl2^4H2O,MgCl2^H2O,MgF2(c),MgOHCl,MgSO4(c),MHSH(Mg1.5),Minnesotaite,Mirabilite,Misenite,Mn(OH)2(am),Mn(OH)3(c),Mn3(PO4)2(c),MnCl2^2H2O,MnCl2^4H2O,MnCl2^H2O,MnHPO4(c),MnSO4(c),Molysite,Monohydrocalcite,Monticellite,Mordenite-K,Mordenite-Na,Muscovite,Na2Si2O5,Na2SiO3,Na3H(SO4)2,Na4SiO4,Na6Si2O7,NaFeO2(c),Nepheline,Nesquehonite,Nontronit-Ca,Nontronit-K,Nontronit-Mg,Nontronit-Na,O-phth acid(c),Paragonite,Pargasite,Pentahydrite,Phengite,Phlogopite,Pirssonite,Portlandite,Prehnite,Pseudowollastonite,Pyrite,Pyrolusite,Pyrophyllite,Pyrrhotite,Quartz,Rankinite,Rhodochrosite,Rhodonite,Ripidolit-14A,Ripidolit-7A,Sanidine high,Saponite-Ca,Saponite-H,Saponite-K,Saponite-Mg,Saponite-Na,Scacchite,Sepiolite,Siderite,Sillimanite,Smectite-high-Fe-Mg,Smectite-low-Fe-Mg,Smectite-Reykjanes,Spinel,Strengite,Sulfur-Rhmb,Sylvite,Tachyhydrite,Talc,Tephroite,Thenardite,Todorokite,Tremolite,Tridymite,Troilite,Vivianite,Wairakite,Whitlockite,Wollastonite,Wustite,Zoisite
4.22E+14,7/1/1996,,340DVSL,Devonian-Silurian System,42.32919444,-92.7880278,507,,1.81,1360,251,991,6.9,,,1.4,0.01,0.05,,,140,95,33,7.2,2.4,550,1.6,7.9,1800,12,,,,,-24.15,,,,,,,,,-0.9096,,,,,-1.344,,,-15.29,-28.65,-67.5,-0.4926,-8.119,-8.975,-1.98,,,,,,,,-15.95,,-11.52,,-7.012,-26.42,-13.48,,-27.89,-14.35,-22.65,-21.82,-39.73,-51.37,-47.28,-37.79,-38.67,-36.01,-43.01,-57.35,-20.01,-16.3,-20.25,,-0.3246,-23.55,-7.048,-2.179,0.2851,,-35.49,-9.364,,,,,,,,,,,-0.0267,,,,,,-8.669,0.192,-1.533,0.1921,-5.521,,,-3.4,-7.293,-5.218,,,-11.46,,-3.788,,,,-3.218,-11.1,,0.1302,-12.94,-9.132,,,,,-5.973,,-0.9317,-8.666,,-9.12,,,,-3.784,-6.036,-17.47,-24.24,,,,,,,-15.92,-54.27,-13.38,-5.654,,,-5.931,-42.57,-34.45,-10.48,,-24.27,,-23.56,,-4.812,-24.56,-1.263,,,-12.82,,,-4.88,-11.25,-38.29,-16.14,-25.41,-19.28,-29.16,-3.108,-17.84,-11.62,-10.72,-4.203,-6.277,-74.14,-9.933,,,-19.93,-18.34,-21.7,,-13.14,,-1.284,-14.47,,,,-18.78,-19.45,-18.98,-59.02,-92.63,,,-4.529,,,,,,,,-4.103,,,-10.19,-13.48,,-8.094,,,,,0.5791,-31.23,-2.494,-7.769,,,,,,,,,-25.25,-12.5,-0.5471,,,,,,,,-8.726,-52.29,-6.161,-15.68,-8.178,,-21.52,0.39,,,,,-7.647,,
4.22E+14,7/1/1996,,340DVSL,Devonian-Silurian System,42.32919444,-92.7880278,507,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.22E+14,6/27/1996,,340DVSL,Devonian-Silurian System,42.39141667,-91.7641667,280,,1.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.22E+14,6/27/1996,,340DVSL,Devonian-Silurian System,42.39141667,-91.7641667,280,,1.76,703,311,430,6.9,,,0.38,0.03,1.37,,,100,20,17,2.1,17,66,0.3,14,14,6,,,,,-24.26,,,,,,,,,-0.6621,,,,,-2.178,,,-13.56,-30.6,-76.77,-0.3927,-9.959,-9.982,-2.815,,,,,,,,-14.77,,-14.25,,-7.574,-29.55,-13.5,,-26.19,-13.64,-22.44,-21.61,-39.29,-51.18,-45.6,-37.12,-37.27,-34.61,-41.62,-55.97,-18.28,-14.57,-18.53,,-0.2247,-22.01,-6.57,-3.014,0.533,,-34.31,-10.55,,,,,,,,,,,0.2211,,,,,,-8.753,-0.1531,-1.879,-0.153,-5.835,,,-4.778,-11.06,-7.224,,,-14.83,,-5.794,,,,-4.976,-13.93,,-1.25,-13.81,-9.449,,,,,-11.49,,-1.766,-8.063,,-10.65,,,,-5.163,-7.273,-19.81,-22.52,,,,,,,-16.83,-57.65,-14.4,-6.048,,,-7.311,-41.03,-32.91,-11.14,,-24.06,,-23.82,,-6.192,-24.58,-1.709,,,-13.02,,,-7.703,-12.57,-38.41,-16.39,-24.23,-18.1,-27.98,-5.034,-17.53,-13,-12.39,-9.228,-7.631,-83.95,-10.13,,,-18.38,-16.79,-20.16,,-14.16,,-1.185,-14.8,,,,-18.83,-19.74,-21.42,-59.85,-93.76,,,-4.975,,,,,,,,-5.482,,,-10.51,-13.5,,-7.865,,,,,0.827,-30.79,-2.571,-7.716,,,,,,,,,-23.71,-13.26,-2.436,,,,,,,,-8.365,-48.2,-6.855,-15.83,-9.534,,-22.38,0.6379,,,,,-7.417,,
4.22E+14,6/27/1996,,340DVSL,Devonian-Silurian System,42.39141667,-91.7641667,280,,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,6/25/1996,,340DVSL,Devonian-Silurian System,42.42327778,-92.5919722,240,,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,6/25/1996,,340DVSL,Devonian-Silurian System,42.42327778,-92.5919722,240,,1.71,680,345,384,7.3,,,3.9,0.01,0.05,,,63,30,38,2.8,0.4,23,0.8,13,590,11,,,,,-22.12,,,,,,,,,-0.6943,,,,,-2.806,,,-17,-23.96,-53.66,-0.1339,-10.14,-8.363,-3.442,,,,,,,,-17.83,,-14.25,,-6.59,-27.88,-12.89,,-29.01,-12.51,-21.26,-20.43,-37.53,-49.38,-47.19,-34.78,-34.4,-31.75,-38.75,-52.5,-21.72,-18.01,-21.96,,0.03411,-26.57,-6.022,-3.641,0.5013,,-37.38,-7.662,,,,,,,,,,,0.1893,,,,,,-7.22,0.7388,-0.9871,0.7389,-4.882,,,-5.031,-6.252,-4.806,,,-12.36,,-3.375,,,,-2.59,-12.75,,-0.5872,-11.88,-8.038,,,,,-4.3,,-2.393,-9.337,,-7.682,,,,-5.415,-5.116,-16.29,-25.95,,,,,,,-16.13,-55.55,-16.15,-5.873,,,-7.565,-45.6,-37.47,-10.21,,-22.87,,-25.45,,-6.445,-23.97,-1.076,,,-11.95,,,-6.522,-13.29,-35.66,-16.44,-27.29,-21.16,-31.04,-3.997,-18.57,-13.26,-12.15,-2.098,-7.368,-88.41,-9.061,,,-21.36,-19.77,-23.14,,-14.33,,-0.9257,-13.24,,,,-17.39,-18.27,-21.64,-56.89,-89.34,,,-4.343,,,,,,,,-5.735,,,-9.102,-12.89,,-7.286,,,,,0.7954,-29.02,-1.856,-6.681,,,,,,,,,-26.69,-9.508,-0.3698,,,,,,,,-9.862,-57.76,-4.025,-13.72,-9.273,,-16.49,0.6062,,,,,-6.838,,
4.23E+14,6/25/1996,,340DVSL,Devonian-Silurian System,42.42327778,-92.5919722,240,,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,4/25/1955,,344WAPC,Wapsipinicon Formation,42.43414805,-92.9168662,745,,1.68,661,,393,7.8,,,,,3.4,,,61.1,20.6,59,3.5,2,44.9,0.5,,3700,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,1955-06,,344WAPC,Wapsipinicon Formation,42.43414805,-92.9168662,745,,1.67,2130,,1840,7.5,,,,,1.4,,,316,134,56,11,8.5,1170,2,,400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,5/24/1957,,344WAPC,Wapsipinicon Formation,42.43414805,-92.9168662,745,,1.65,712,,494,7.5,,,,,0.1,,,66.5,28.7,68,5.8,3,108,0.65,14.6,15400,160,,,,,-20.78,,,,,,,,,-0.6436,,,,,-2.105,,,-15.21,-20.89,-43.65,,-8.842,,-2.742,,,,,,,,-16.09,,-12.41,,-6.21,,-12.46,,-26.79,-11.5,-20.35,-19.52,-36.14,-48.05,-44.11,-32.91,-31.95,-29.29,-36.3,-49.62,-19.93,-16.22,-20.18,,,-23.64,-5.489,-2.941,0.5525,,-35.65,-6.418,,,,,,,,,,,0.2405,,,,,,-6.308,,,,-4.452,,,-4.379,-2.435,-2.923,,,-11.06,,-1.492,,,,-0.6554,-10.6,,-0.7321,-11.07,,,,,,1.453,,-1.692,-8.202,,-5.267,,,,-4.764,,,-24.17,,,,,,,,,-14.3,,,,-6.916,-42.67,-34.54,,,-21.96,,-22.22,,-5.794,-23.54,,,,-10.37,,,-4.367,-12.5,-33.89,-15,-25.56,-19.42,-29.31,-4.193,-17.51,-12.61,-11.31,3.757,-6.18,-82.39,-7.477,,,-18.42,-16.83,-20.2,,-12.48,,,-12.38,,,,-16.38,-17.31,-19.73,-55.02,-86.51,,,,,,,,,,,-5.083,,,,-12.46,,-6.806,,,,,0.8467,-27.64,,-5.045,,,,,,,,,-23.75,-7.678,,,,,,,,,-8.668,-52.5,-2.679,-10.5,-8.088,,-13.32,0.6574,,,,,-6.358,,
4.23E+14,7/15/1949,,340DVSL,Devonian-Silurian System,42.43387019,-92.9338108,280,,1.63,800,,,7.4,,,,,0,,,63.7,27.7,,,1,71.6,0.7,,1400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,10/10/1953,,340DVSL,Devonian-Silurian System,42.43387019,-92.9338108,280,,1.62,1020,,814,7.6,,,,,0,,,99.6,43.4,89,15.3,8,421,1.2,,680,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,9/29/1958,,340DVSL,Devonian-Silurian System,42.43387019,-92.9338108,280,,1.6,820,,542,7.5,,,,,2.4,,,84.1,31.6,67,6,2,121,0.5,9.2,780,140,,,,,-20.96,,,,,,,,,-0.8435,,,,,-1.974,,,-15.47,-22.27,-46.28,,-8.777,,-2.611,,,,,,,,-16.42,,-12.32,,-6.178,,-12.37,,-26.97,-11.92,-20.37,-19.54,-36.27,-47.98,-44.09,-33.14,-32.69,-30.03,-37.04,-50.27,-20.2,-16.48,-20.44,,,-24.13,-5.797,-2.809,0.353,,-35.98,-6.721,,,,,,,,,,,0.04096,,,,,,-6.584,,,,-4.62,,,-4.306,-5.246,-4.229,,,-12.59,,-2.798,,,,-2.161,-11.87,,-0.8688,-11.2,,,,,,-2.862,,-1.56,-8.388,,-6.881,,,,-4.691,,,-24.44,,,,,,,,,-14.4,,,,-6.844,-43.16,-35.03,,,-21.98,,-23.88,,-5.722,-23.46,,,,-10.44,,,-5.632,-12.45,-33.99,-15.11,-25.88,-19.75,-29.64,-4.39,-17.66,-12.54,-11.22,-0.9564,-6.156,-82.01,-7.545,,,-18.84,-17.25,-20.62,,-12.51,,,-12.46,,,,-16.8,-17.53,-19.68,-55.26,-86.97,,,,,,,,,,,-5.01,,,,-12.37,,-6.915,,,,,0.6473,-27.77,,-5.313,,,,,,,,,-24.17,-8.746,,,,,,,,,-8.833,-53.41,-3.38,-10.84,-8.067,,-14.57,0.4579,,,,,-6.467,,
4.23E+14,6/5/1962,,340DVSL,Devonian-Silurian System,42.43387019,-92.9338108,280,,1.59,1130,,775,7.5,,,,,0.1,,,97.5,47.1,81.6,16.2,6,373,1.2,8,2400,50,,,,,-21.03,,,,,,,,,-0.9034,,,,,-1.542,,,-14.56,-22.06,-44.93,,-7.488,,-2.179,,,,,,,,-15.38,,-11.16,,-6.08,,-12.4,,-26.07,-12.14,-20.47,-19.64,-36.45,-48.11,-43.24,-33.41,-33.16,-30.5,-37.51,-50.76,-19.28,-15.57,-19.53,,,-22.21,-5.938,-2.377,0.2932,,-34.94,-6.545,,,,,,,,,,,-0.0189,,,,,,-6.627,,,,-4.581,,,-3.753,-4.488,-3.82,,,-11.45,,-2.389,,,,-1.811,-11,,-0.1562,-11.07,,,,,,-1.754,,-1.128,-7.847,,-6.613,,,,-4.139,,,-23.52,,,,,,,,,-12.96,,,,-6.292,-41.24,-33.11,,,-22.09,,-22.53,,-5.17,-23.48,,,,-10.96,,,-4.769,-11.58,-34.08,-14.45,-24.85,-18.71,-28.6,-3.557,-17.1,-11.99,-10.62,0.03165,-5.555,-75.49,-8.064,,,-18.42,-16.83,-20.2,,-12.57,,,-12.44,,,,-16.77,-17.44,-18.55,-55.03,-86.65,,,,,,,,,,,-4.458,,,,-12.4,,-6.997,,,,,0.5874,-27.95,,-5.891,,,,,,,,,-23.76,-8.71,,,,,,,,,-7.947,-50.43,-3.324,-11.94,-7.465,,-14.6,0.3981,,,,,-6.548,,
4.23E+14,8/1/1991,,340DVSL,Devonian-Silurian System,42.43387019,-92.9338108,280,,1.57,790,,469,7.1,,,2.8,,,,,74,30,58,3.8,0.5,70,0.45,10,1200,40,0.1,,,,-23.36,-59.21,-39.46,,-1.586,-3.069,-1.586,-8.376,-15.3,-0.8063,-7.62,-2.468,-5.385,,-2.229,-4.638,-9.385,-16.7,-27.59,-64.93,,-9.39,,-2.866,0.6989,-0.08994,0.2823,0.6433,0.3432,,,-17.61,,-12.88,-2.235,-6.982,,-13.21,-15.85,-29.03,-13.47,-22,-21.16,-38.69,-50.45,-47.81,-36.37,-36.63,-33.97,-40.99,-55.05,-21.43,-17.71,-21.67,,,-26.12,-6.555,-3.065,0.3904,-5.415,-37.18,-9.057,-15.02,-18.6,0.9363,2.537,-4.162,-2.444,-11.8,-22.96,-20.22,-6.951,0.07831,,-6.567,-10.16,,-1.26,-8.146,,,,-5.386,,,-4.532,-6.394,-4.821,,,-12.47,,-3.391,,,,-2.716,-11.88,,-0.9842,-12.77,,-26.64,-0.2533,,,-4.564,-17.57,-1.815,-9.046,,-8.231,,-6.732,-1.121,-4.917,,,-25.67,,0.1855,-3.891,,,0.4296,,,-15.42,,-4.39,1.181,-7.071,-45.16,-37.03,,-5.046,-23.61,-2.333,-24.87,-4.159,-5.949,-24.29,,,,-11.76,-9.269,0.4332,-5.646,-12.47,-37.22,-16.92,-27.08,-20.95,-30.84,-4.477,-18.66,-12.77,-11.85,-2.583,-6.498,-82.72,-8.871,,,-20.56,-18.97,-22.34,,-13.26,,,-14.06,1.271,-1.223,1.175,-17.64,-18.41,-19.9,-57.07,-89.66,,-6.25,,,,,,,-1.804,-39.9,-5.236,-0.895,-8.617,,-13.21,-8.233,-7.711,,,0.6865,,0.6847,-30.19,,-6.601,-11.32,-14.91,-0.9315,-5.614,-6.405,-6.031,-5.667,-5.97,-25.9,-11.74,,-5.792,,,,-14.71,,,-9.625,-57.04,-5.642,-13.45,-8.409,,-19.96,0.4953,,,-7.528,,-7.262,,-11.85
4.23E+14,9/16/1940,,344DVNNM,"Devonian, Middle",42.4349813,-92.9240885,765,,1.55,,,,7.1,,,,,0,,,422,138,,,0.9,1290,2.1,,900,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,12/4/1940,,344DVNNM,"Devonian, Middle",42.4349813,-92.9240885,765,,1.54,,,,7.4,,,,,0,,,165,56.8,,,5,489,1,,1600,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,8/6/1975,,344DVNNM,"Devonian, Middle",42.4349813,-92.9240885,765,,1.52,2100,,1750,7.3,,,,,0.16,,,300,130,41,12,9,1100,2.3,8,2400,20,,,10,10,-21.2,,,,,,,,,-0.8996,,,,,-0.8638,,,-13.91,-22.58,-46.76,,-7.484,,-1.5,,,,,,,,-14.77,,-10.84,,-6.16,,-12.45,,-25.47,-12.22,-20.57,-19.73,-36.59,-48.26,-42.73,-33.59,-33.37,-30.71,-37.73,-51.03,-18.64,-14.92,-18.88,,,-21.6,-5.977,-1.699,0.2976,,-34.33,-6.775,,,,,,,,,,,-0.0146,,,,,,-6.746,,,,-4.657,,,-3.106,-5.541,-4.348,,,-11.11,,-2.918,,,,-2.336,-10.81,,0.6698,-11.22,,,,,,-3.33,,-0.4487,-8.025,,-7.181,,,,-3.492,,,-22.88,,,,,,,,,-12.33,,,,-5.647,-40.65,-32.52,,,-22.18,,-22.37,,-4.524,-23.53,,,,-11.88,,,-4.571,-11.21,-34.3,-14.26,-24.24,-18.1,-27.99,-2.765,-16.83,-11.34,-10.02,-1.535,-5.878,-73.3,-8.984,,,-18.65,-17.06,-20.43,,-12.77,,,-12.57,,,,-17.81,-18.49,-18.67,-57.14,-89.81,,,,,,,,,,,-3.811,,,,-12.45,,-7.041,,,,,0.5919,-28.09,,-6.806,,,,,,,,,-23.98,-9,,,,,,,,,-7.96,-48.55,-3.544,-13.77,-7.792,,-15.06,0.4025,,,,,-6.592,,
4.23E+14,7/2/1996,,340DVSL,Devonian-Silurian System,42.4418611,-92.7639444,440,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.23E+14,7/2/1996,,340DVSL,Devonian-Silurian System,42.4418611,-92.7639444,440,,1.49,658,221,422,7.1,,,0.6,0.01,0.05,,,99,27,7.3,2.1,0.3,140,1.4,11,660,21,,,,,-23.24,,,,,,,,,-0.7638,,,,,-1.874,,,-17.08,-27.91,-66.46,-0.3635,-9.633,-9.321,-2.511,,,,,,,,-18.16,,-14.23,,-7.078,-31.04,-13.14,,-29.34,-13.2,-21.82,-20.99,-38.41,-50.21,-47.98,-35.97,-36.03,-33.37,-40.39,-54.39,-21.81,-18.09,-22.06,,-0.1954,-27.15,-6.4,-2.71,0.4337,,-37.73,-9.254,,,,,,,,,,,0.1214,,,,,,-8.087,0.03767,-1.69,0.03777,-5.439,,,-4.337,-7.046,-5.169,,,-11.83,,-3.739,,,,-3.02,-11.94,,0.06948,-12.92,-10.08,,,,,-5.519,,-1.459,-10.18,,-8.425,,,,-4.723,-6.767,-18.67,-26.05,,,,,,,-16.77,-58.1,-15.71,-6.188,,,-6.88,-46.2,-38.07,-11.43,,-23.44,,-25.67,,-5.756,-24.23,-1.549,,,-12.1,,,-5.705,-12.44,-37.03,-17.33,-27.63,-21.49,-31.39,-3.587,-18.99,-12.58,-11.71,-3.452,-8.029,-82.83,-9.209,,,-21.35,-19.76,-23.13,,-13.31,,-1.155,-14.04,,,,-19.38,-20.19,-22.06,-60.68,-95.06,,,-4.821,,,,,,,,-5.042,,,-11.15,-13.14,,-7.601,,,,,0.728,-29.91,-1.987,-6.896,,,,,,,,,-26.69,-11.85,-0.7192,,,,,,,,-10.12,-58.52,-5.751,-14.09,-9.944,,-19.95,0.5386,,,,,-7.153,,
4.23E+14,7/2/1996,,340DVSL,Devonian-Silurian System,42.4418611,-92.7639444,440,,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
